id,product_name,buy_date,buy_price,gender,expiration_date,bought_id,sell_date,sell_price
44,Dr. Pepper - 355ml,7/8/2022,$68.54,Male,7/21/2022,0.8281580619,2/20/2022,$36.69
45,Tea - Herbal - 6 Asst,8/18/2021,$61.76,Male,6/30/2022,0.2733171295,5/20/2022,$22.66
46,Plasticspoonblack,7/5/2022,$33.56,Male,6/14/2022,1.2723929485,9/19/2021,$74.67
47,Bread - Olive,7/14/2022,$34.49,Non-binary,6/12/2022,0.2834201972,8/7/2021,$7.81
48,Container - Hngd Cll Blk 7x7x3,10/14/2021,$91.19,Male,10/2/2021,1.1694251452,12/30/2021,$32.24
49,Cheese Cloth No 100,10/2/2021,$6.81,Genderfluid,5/28/2022,1.1812274636,12/24/2021,$56.73
50,"Vermouth - White, Cinzano",12/15/2021,$88.53,Female,3/30/2022,0.2706938739,1/2/2022,$14.04
51,Potatoes - Pei 10 Oz,11/14/2021,$98.84,Male,9/28/2021,0.2823550192,1/4/2022,$92.35
52,"Nestea - Ice Tea, Diet",9/12/2021,$91.81,Female,3/6/2022,0.2615682914,11/9/2021,$12.04
53,Tea - Grapefruit Green Tea,2/15/2022,$19.69,Male,11/13/2021,1.3650789435,11/5/2021,$2.21
54,Cheese - Le Cheve Noir,11/13/2021,$61.55,Male,6/2/2022,0.6757913175,5/4/2022,$19.24
55,Flour - Teff,4/29/2022,$4.21,Male,10/14/2021,3.0896745445,9/25/2021,$81.44
56,Muffin Orange Individual,11/19/2021,$26.20,Male,2/26/2022,1.2768450517,9/24/2021,$61.92
57,Pike - Frozen Fillet,3/14/2022,$6.68,Male,10/11/2021,0.749260287,11/30/2021,$9.04
58,Chip - Potato Dill Pickle,1/17/2022,$65.96,Male,11/9/2021,3.4830520528,2/3/2022,$52.20
59,Table Cloth 53x53 White,6/23/2022,$54.33,Male,10/19/2021,1.8354825493,10/18/2021,$16.33
60,Table Cloth 53x53 White,3/6/2022,$29.33,Male,3/15/2022,0.2507031309,5/10/2022,$93.69
61,"Chestnuts - Whole,canned",4/8/2022,$48.36,Female,1/2/2022,0.7719705698,7/25/2021,$60.65
62,Pork Loin Bine - In Frenched,12/13/2021,$13.56,Female,9/17/2021,0.7765245241,4/23/2022,$81.76
63,Nestea - Iced Tea,5/5/2022,$23.48,Male,6/2/2022,1.6294439575,5/5/2022,$73.27
64,Jolt Cola,1/9/2022,$14.38,Female,6/16/2022,0.0333884103,10/3/2021,$45.98
65,Eggs - Extra Large,11/24/2021,$44.92,Female,7/23/2021,1.0575151425,7/3/2022,$45.29
66,Table Cloth 62x114 White,10/16/2021,$62.56,Female,7/23/2021,0.640887122,4/8/2022,$68.42
67,"Beans - Fava, Canned",10/20/2021,$65.88,Female,10/5/2021,0.7115289101,3/25/2022,$50.47
68,Cheese - Camembert,10/4/2021,$68.15,Male,10/20/2021,1.1086970939,3/10/2022,$61.52
69,"Bread - Roll, Whole Wheat",2/11/2022,$79.75,Female,11/11/2021,0.1893797952,10/2/2021,$72.90
70,Shrimp - Prawn,11/29/2021,$70.25,Male,1/5/2022,0.2360814573,12/5/2021,$19.22
71,Scallops - In Shell,4/25/2022,$8.79,Male,12/28/2021,0.1368182187,6/29/2022,$23.72
72,Butter - Unsalted,4/15/2022,$87.53,Male,2/16/2022,0.3434062639,7/4/2022,$66.12
73,Cheese - Gouda Smoked,8/23/2021,$32.11,Female,4/29/2022,1.9289431358,5/11/2022,$67.69
74,Danishes - Mini Raspberry,1/6/2022,$71.59,Female,2/13/2022,0.5665543327,12/13/2021,$34.87
75,Bar Mix - Lime,3/29/2022,$2.10,Male,6/16/2022,0.8662145777,1/4/2022,$96.15
76,"Pasta - Penne, Lisce, Dry",7/2/2022,$91.52,Male,5/15/2022,0.0576959865,3/13/2022,$79.86
77,Chocolate Bar - Oh Henry,6/25/2022,$73.08,Male,9/19/2021,0.5055371673,10/7/2021,$75.88
78,Snapple - Iced Tea Peach,8/5/2021,$22.73,Male,5/14/2022,0.9086426292,7/22/2022,$46.40
79,Chambord Royal,8/7/2021,$77.68,Female,12/17/2021,1.2539922178,3/14/2022,$17.99
80,Sobe - Orange Carrot,1/21/2022,$80.62,Female,12/26/2021,3.2279481957,10/20/2021,$53.15
81,Knife Plastic - White,2/22/2022,$12.99,Male,7/26/2021,0.5440128394,1/11/2022,$77.78
82,Bread - Hamburger Buns,12/12/2021,$3.04,Male,7/14/2022,0.722722122,12/16/2021,$21.85
83,French Pastry - Mini Chocolate,3/3/2022,$31.18,Male,7/16/2022,3.5737211548,2/24/2022,$59.39
84,Chick Peas - Dried,5/19/2022,$62.31,Male,9/15/2021,0.5666882462,5/26/2022,$81.08
85,Island Oasis - Strawberry,6/2/2022,$66.97,Non-binary,5/28/2022,0.7223194463,6/16/2022,$50.86
86,Tamarillo,4/7/2022,$33.79,Male,2/13/2022,2.3967196978,8/26/2021,$4.59
87,Sea Urchin,12/15/2021,$5.51,Male,11/17/2021,0.2364904503,8/30/2021,$35.63
88,Flower - Dish Garden,9/21/2021,$31.10,Female,3/6/2022,0.5570278205,12/18/2021,$82.05
89,Muffin Mix - Carrot,6/30/2022,$65.85,Male,8/14/2021,2.7592181622,1/16/2022,$67.30
90,Curry Powder Madras,4/25/2022,$65.18,Male,3/10/2022,0.0048801687,8/22/2021,$21.86
91,Oysters - Smoked,7/20/2022,$75.86,Male,12/30/2021,1.2828744687,8/7/2021,$14.42
92,Coffee - Decaffeinato Coffee,9/7/2021,$31.42,Male,11/23/2021,0.2593007694,11/15/2021,$59.70
93,Truffle Shells - White Chocolate,11/2/2021,$16.85,Female,9/2/2021,0.1621538873,4/1/2022,$9.93
94,Milk - Buttermilk,10/14/2021,$24.61,Bigender,8/15/2021,0.1328954951,7/27/2021,$35.52
95,Muffin - Zero Transfat,5/1/2022,$4.20,Male,8/8/2021,0.0446528991,7/23/2021,$61.42
96,Goat - Leg,6/5/2022,$28.37,Female,4/6/2022,0.9673568236,8/5/2021,$67.25
97,Currants,11/17/2021,$25.34,Male,4/22/2022,1.4917473629,6/22/2022,$92.34
98,Wine - Jackson Triggs Okonagan,2/19/2022,$12.26,Female,11/5/2021,0.0657935037,3/18/2022,$45.19
99,"Beef - Kindney, Whole",1/26/2022,$39.38,Male,3/17/2022,0.0780125725,5/31/2022,$67.92
100,Veal - Osso Bucco,1/11/2022,$74.96,Genderqueer,11/13/2021,0.0081579831,10/20/2021,$88.45
101,Potatoes - Idaho 100 Count,12/1/2021,$2.86,Male,12/16/2021,0.4324470062,7/25/2021,$53.17
102,Shrimp - Prawn,6/4/2022,$25.50,Female,9/25/2021,0.641898923,1/29/2022,$90.20
103,Pork - Belly Fresh,10/7/2021,$48.58,Female,6/14/2022,1.0411407705,4/13/2022,$62.01
104,Table Cloth 90x90 White,10/27/2021,$8.96,Male,3/18/2022,0.5041595233,5/17/2022,$71.21
105,Longos - Chicken Cordon Bleu,12/19/2021,$31.73,Male,1/16/2022,0.354192204,5/3/2022,$29.87
106,Wine - Penfolds Koonuga Hill,4/27/2022,$23.15,Female,8/14/2021,0.8958424158,4/3/2022,$43.30
107,"Cheese - Romano, Grated",7/9/2022,$46.02,Male,5/7/2022,1.0523812201,5/16/2022,$72.33
108,Flower - Commercial Bronze,12/23/2021,$1.21,Female,9/22/2021,1.2691263699,6/20/2022,$82.94
109,Wine - Cabernet Sauvignon,9/9/2021,$83.79,Male,12/11/2021,2.5559540783,12/19/2021,$53.04
110,"Wine - White, Gewurtzraminer",11/15/2021,$44.27,Bigender,5/6/2022,0.1129783952,3/1/2022,$15.03
111,"Sparkling Wine - Rose, Freixenet",8/16/2021,$41.33,Male,10/27/2021,0.073967882,10/1/2021,$30.52
112,Wine - Sawmill Creek Autumn,4/20/2022,$43.37,Non-binary,2/28/2022,0.241179208,3/24/2022,$17.72
113,Bread - Italian Corn Meal Poly,11/11/2021,$38.16,Male,4/15/2022,1.2282788414,10/30/2021,$74.59
114,Scampi Tail,9/27/2021,$64.01,Male,11/22/2021,0.4364885269,4/26/2022,$50.90
115,Kaffir Lime Leaves,7/12/2022,$58.41,Female,6/1/2022,3.1460471545,6/1/2022,$87.71
116,Shichimi Togarashi Peppeers,7/5/2022,$64.48,Male,10/28/2021,0.9944929145,12/20/2021,$33.44
117,Ham - Virginia,9/22/2021,$95.70,Female,11/26/2021,0.1536409278,1/29/2022,$93.07
118,Wonton Wrappers,4/19/2022,$36.84,Female,7/2/2022,0.3174359421,6/9/2022,$20.35
119,Arctic Char - Fillets,11/29/2021,$47.14,Female,1/25/2022,0.6341730853,12/10/2021,$99.81
120,Squash - Pepper,7/25/2021,$68.69,Male,1/9/2022,0.3983722314,10/24/2021,$99.35
121,Temperature Recording Station,12/1/2021,$1.78,Female,8/19/2021,5.8228841822,6/17/2022,$36.47
122,Initation Crab Meat,11/23/2021,$7.64,Female,5/30/2022,0.6023791096,8/26/2021,$39.50
123,Avocado,12/27/2021,$90.03,Male,8/24/2021,0.1327500181,10/23/2021,$64.57
124,Coffee - Ristretto Coffee Capsule,6/12/2022,$99.61,Female,6/26/2022,0.1529995055,4/10/2022,$49.15
125,Pepper - Orange,4/4/2022,$11.99,Female,2/12/2022,0.5008778194,3/8/2022,$93.88
126,Port - 74 Brights,6/17/2022,$66.12,Female,3/16/2022,0.7836393021,7/5/2022,$62.81
127,Uniform Linen Charge,4/10/2022,$95.42,Female,5/28/2022,0.3700921644,2/13/2022,$58.83
128,Ice Cream - Turtles Stick Bar,2/3/2022,$37.51,Female,5/9/2022,2.3365438413,5/27/2022,$66.95
129,Syrup - Kahlua Chocolate,4/27/2022,$95.39,Bigender,1/10/2022,0.5746937041,5/18/2022,$72.13
130,Onions - Vidalia,7/9/2022,$42.17,Male,4/17/2022,0.7265706256,6/29/2022,$17.90
131,Plasticspoonblack,3/12/2022,$66.36,Male,9/15/2021,2.376272541,10/16/2021,$15.36
132,Trout Rainbow Whole,12/30/2021,$5.52,Male,1/16/2022,0.2820599424,4/11/2022,$58.68
133,Sprouts - Brussel,5/11/2022,$95.54,Male,11/22/2021,0.6873925144,4/23/2022,$58.07
134,Cookie Dough - Oatmeal Rasin,11/23/2021,$98.22,Female,1/17/2022,0.8743658529,6/15/2022,$93.18
135,Pear - Asian,6/26/2022,$36.41,Female,11/9/2021,0.9243786505,8/13/2021,$68.41
136,Rum - Mount Gay Eclipes,6/13/2022,$26.69,Male,10/27/2021,0.4558183235,12/14/2021,$6.45
137,Carbonated Water - Peach,10/4/2021,$65.67,Female,4/20/2022,1.4101355872,7/25/2021,$49.94
138,Dr. Pepper - 355ml,11/30/2021,$70.60,Male,10/8/2021,0.7203940446,2/18/2022,$9.82
139,Wine - Vidal Icewine Magnotta,5/11/2022,$16.59,Male,4/3/2022,0.154645218,3/2/2022,$34.45
140,Rye Special Old,11/3/2021,$90.03,Female,2/27/2022,0.135262508,5/5/2022,$22.93
141,Rice - Sushi,1/20/2022,$13.72,Male,5/28/2022,0.9458417573,2/20/2022,$36.03
142,Asparagus - Mexican,7/17/2022,$98.88,Agender,5/27/2022,0.3685930985,2/20/2022,$29.44
143,Shichimi Togarashi Peppeers,12/10/2021,$64.37,Male,5/9/2022,0.5825805048,1/1/2022,$24.37
144,Tuna - Loin,1/12/2022,$57.56,Male,2/19/2022,0.0116742384,6/6/2022,$53.53
145,Syrup - Monin - Granny Smith,4/23/2022,$27.86,Female,1/31/2022,0.0435996653,8/16/2021,$93.58
146,Gatorade - Lemon Lime,12/29/2021,$42.85,Female,7/10/2022,0.0007702153,7/7/2022,$29.52
147,"Tortillas - Flour, 12",7/22/2022,$15.24,Male,3/12/2022,0.8497067926,5/27/2022,$44.62
148,Chicken Thigh - Bone Out,9/26/2021,$26.20,Male,8/15/2021,0.3407221367,10/14/2021,$45.49
149,Glaze - Apricot,9/6/2021,$37.87,Female,7/31/2021,0.2638362049,9/10/2021,$33.74
150,"Syrup - Golden, Lyles",9/17/2021,$94.35,Female,11/25/2021,0.2697248882,2/22/2022,$85.64
151,Vinegar - White,8/6/2021,$33.54,Genderfluid,11/6/2021,0.4540675787,4/2/2022,$60.65
152,Cheese - Swiss Sliced,4/7/2022,$50.80,Male,2/25/2022,0.9331183875,2/5/2022,$91.27
153,Snapple Lemon Tea,11/7/2021,$34.16,Male,1/7/2022,0.4249825366,1/14/2022,$59.41
154,"Napkin - Dinner, White",3/28/2022,$93.84,Female,8/2/2021,1.0954588567,1/6/2022,$58.64
155,The Pop Shoppe - Lime Rickey,12/13/2021,$86.65,Male,5/20/2022,0.1440312183,12/22/2021,$18.49
156,Sauce - Cranberry,4/23/2022,$24.96,Male,2/11/2022,1.7854664005,6/12/2022,$8.13
157,Pepsi - 600ml,4/15/2022,$84.39,Female,5/18/2022,0.2113914949,7/7/2022,$9.51
158,"Syrup - Monin, Swiss Choclate",9/14/2021,$62.45,Male,11/2/2021,0.2893327412,11/8/2021,$79.08
159,"Lid - 10,12,16 Oz",9/13/2021,$82.19,Male,9/2/2021,0.2019725898,11/9/2021,$10.16
160,Table Cloth 81x81 White,7/17/2022,$85.88,Male,5/19/2022,0.5930554973,7/16/2022,$31.09
161,Beef - Tender Tips,1/8/2022,$63.46,Male,7/2/2022,2.6205142587,9/15/2021,$58.29
162,Lamb - Whole Head Off,7/15/2022,$25.92,Female,4/17/2022,2.0753515276,3/6/2022,$44.21
163,Cheese - Wine,11/22/2021,$61.69,Male,5/30/2022,0.8425861154,6/19/2022,$14.73
164,Onions Granulated,5/14/2022,$57.11,Female,9/1/2021,0.6129415713,8/2/2021,$41.01
165,Sambuca Cream,9/3/2021,$35.07,Male,5/20/2022,1.2840574959,4/4/2022,$32.78
166,Peas Snow,4/18/2022,$80.84,Female,4/17/2022,1.7466890725,3/6/2022,$51.82
167,Table Cloth 91x91 Colour,12/25/2021,$84.62,Male,1/1/2022,0.1028602177,11/4/2021,$98.77
168,Beef - Salted,10/19/2021,$92.55,Male,6/1/2022,0.1890612191,2/2/2022,$36.08
169,Nantucket - Orange Mango Cktl,2/24/2022,$4.46,Male,9/23/2021,4.3487381611,11/17/2021,$23.84
170,Tofu - Soft,1/25/2022,$13.66,Male,8/7/2021,0.6070738121,6/11/2022,$69.88
171,Cheese - Gouda,6/4/2022,$80.98,Male,3/28/2022,0.4929388937,1/13/2022,$37.03
172,Cumin - Ground,8/26/2021,$48.62,Male,1/5/2022,0.4145620482,8/5/2021,$10.90
173,Lambcasing,3/15/2022,$50.75,Male,1/26/2022,0.1009477118,5/15/2022,$10.23
174,Wine - Lou Black Shiraz,11/13/2021,$91.42,Genderfluid,1/26/2022,2.5566680736,12/10/2021,$74.11
175,Wine - Vineland Estate Semi - Dry,2/7/2022,$65.17,Polygender,1/28/2022,1.0592233898,7/22/2022,$25.04
176,Flour - Strong,1/10/2022,$21.27,Male,3/11/2022,0.0621923569,8/17/2021,$0.33
177,Blueberries - Frozen,5/29/2022,$98.46,Male,8/15/2021,1.939355082,11/9/2021,$92.85
178,"Chilli Paste, Ginger Garlic",9/5/2021,$52.53,Male,12/2/2021,0.9254901551,12/8/2021,$76.22
179,Chicken Thigh - Bone Out,12/4/2021,$4.65,Male,3/31/2022,1.864326529,1/16/2022,$35.01
180,"Cheese - Romano, Grated",2/26/2022,$92.48,Male,5/3/2022,0.2432911577,11/10/2021,$87.16
181,Garlic - Peeled,12/21/2021,$12.07,Male,5/18/2022,0.4710148346,10/14/2021,$16.66
182,Wine - Peller Estates Late,9/19/2021,$39.79,Male,11/22/2021,0.6720701038,3/27/2022,$45.65
183,Cake - Mini Potato Pancake,10/5/2021,$19.26,Male,1/8/2022,0.4764962723,9/24/2021,$53.77
184,Appetizer - Mushroom Tart,5/20/2022,$80.55,Female,8/15/2021,0.6926341419,9/17/2021,$72.08
185,"Soup - Campbells, Cream Of",8/7/2021,$85.72,Male,1/20/2022,0.3886266771,6/18/2022,$8.10
186,Pork - Side Ribs,4/12/2022,$79.86,Male,3/15/2022,0.1962753729,1/8/2022,$34.97
187,"Basil - Dry, Rubbed",8/26/2021,$49.10,Female,8/20/2021,2.7369484527,3/20/2022,$42.66
188,"Appetizer - Spring Roll, Veg",9/17/2021,$27.88,Male,12/7/2021,1.7021349324,8/9/2021,$57.56
189,Wine - Vovray Sec Domaine Huet,5/4/2022,$40.03,Female,2/20/2022,1.8107385058,12/20/2021,$67.54
190,Muffin Mix - Blueberry,10/11/2021,$83.01,Female,4/21/2022,1.2364277837,4/4/2022,$30.37
191,Bread - Raisin Walnut Pull,9/30/2021,$76.00,Male,12/25/2021,0.0412682174,5/5/2022,$70.71
192,Barley - Pearl,5/17/2022,$47.25,Female,12/30/2021,0.6558216323,6/18/2022,$26.11
193,Flour - All Purpose,5/3/2022,$44.00,Female,12/3/2021,0.2083528712,12/2/2021,$12.87
194,Wine - Cotes Du Rhone Parallele,4/3/2022,$90.80,Male,9/19/2021,0.4779432434,12/8/2021,$32.28
195,Cup - Paper 10oz 92959,7/7/2022,$83.51,Female,5/14/2022,0.0018926423,8/27/2021,$36.69
196,"Beef - Tenderlion, Center Cut",12/6/2021,$63.90,Female,7/10/2022,1.6344638445,2/9/2022,$24.94
197,Soup Campbells Split Pea And Ham,12/25/2021,$2.72,Female,4/13/2022,0.317097882,1/22/2022,$56.60
198,Steampan Lid,1/13/2022,$22.45,Genderfluid,1/6/2022,0.9074309972,4/10/2022,$8.02
199,Container - Clear 16 Oz,8/11/2021,$43.36,Female,7/30/2021,1.0966050368,3/25/2022,$58.72
200,Coffee - Decafenated,8/7/2021,$81.00,Male,4/13/2022,2.1351067067,2/28/2022,$93.99
201,Buffalo - Short Rib Fresh,4/16/2022,$10.18,Male,11/10/2021,0.3864068101,8/8/2021,$1.42
202,Oil - Cooking Spray,3/12/2022,$77.71,Female,9/25/2021,0.4206104196,12/6/2021,$55.13
203,Vinegar - Sherry,3/28/2022,$0.13,Female,12/27/2021,2.2761987209,3/10/2022,$60.42
204,"Doilies - 8, Paper",1/3/2022,$34.43,Male,7/4/2022,0.8429772914,4/12/2022,$45.21
205,Lamb Leg - Bone - In Nz,2/21/2022,$61.48,Female,10/20/2021,3.0725967133,7/7/2022,$88.79
206,Hipnotiq Liquor,9/19/2021,$49.94,Male,1/25/2022,0.4132872064,11/16/2021,$95.00
207,Oil - Pumpkinseed,7/15/2022,$43.58,Male,9/25/2021,0.5681089237,12/22/2021,$21.42
208,Lettuce - Radicchio,12/15/2021,$74.55,Male,12/21/2021,0.3028381211,3/20/2022,$24.33
209,Cheese - Grie Des Champ,5/13/2022,$37.62,Female,4/8/2022,0.900100417,6/17/2022,$65.68
210,Swordfish Loin Portions,9/30/2021,$14.84,Male,4/26/2022,0.5506994914,5/23/2022,$0.05
211,"Beans - Black Bean, Canned",4/10/2022,$65.82,Male,12/5/2021,1.9675686457,2/22/2022,$85.61
212,Mikes Hard Lemonade,2/3/2022,$63.69,Male,6/19/2022,0.9353165201,6/22/2022,$53.23
213,Lettuce - Frisee,11/1/2021,$64.34,Female,1/6/2022,1.1375439721,10/26/2021,$18.44
214,Tea - Apple Green Tea,8/26/2021,$68.11,Male,7/6/2022,0.9934213218,9/25/2021,$17.99
215,Cheese - Gouda,6/9/2022,$80.78,Female,7/2/2022,0.7309351701,1/17/2022,$22.07
216,Wine - Zonnebloem Pinotage,12/17/2021,$57.68,Male,11/1/2021,2.807626777,7/6/2022,$9.96
217,Chips - Doritos,2/7/2022,$24.15,Bigender,9/30/2021,0.2729321937,4/15/2022,$51.16
218,Cheese - La Sauvagine,10/16/2021,$78.36,Male,9/7/2021,0.6158210215,6/29/2022,$9.27
219,Lettuce - Red Leaf,3/22/2022,$64.56,Female,7/8/2022,1.8951199361,11/12/2021,$53.63
220,Soup - Campbells Broccoli,8/20/2021,$29.00,Male,8/9/2021,0.9209422841,5/30/2022,$48.98
221,Langers - Ruby Red Grapfruit,9/21/2021,$52.19,Bigender,5/9/2022,0.9306132358,3/14/2022,$77.49
222,Lamb Tenderloin Nz Fr,3/2/2022,$0.42,Female,6/21/2022,0.2218266684,6/3/2022,$48.25
223,Steamers White,7/13/2022,$67.47,Male,10/30/2021,0.2071316473,2/3/2022,$64.29
224,Fish - Bones,12/8/2021,$29.88,Male,9/11/2021,2.221596002,6/17/2022,$97.66
225,Potatoes - Parissienne,7/17/2022,$16.33,Male,5/14/2022,0.7994504906,4/17/2022,$26.78
226,"Pasta - Gnocchi, Potato",8/8/2021,$96.48,Male,7/20/2022,0.923715493,6/3/2022,$4.58
227,Scallops - In Shell,6/14/2022,$87.27,Female,6/3/2022,0.2187947008,7/8/2022,$99.19
228,Glove - Cutting,6/7/2022,$23.62,Female,9/19/2021,3.5580546454,2/25/2022,$89.73
229,Bread - Pain Au Liat X12,4/19/2022,$45.34,Female,11/1/2021,0.6306532549,4/20/2022,$5.60
230,Cookie Dough - Peanut Butter,1/1/2022,$95.77,Female,11/12/2021,1.6380838665,1/22/2022,$68.52
231,"Beans - Kidney, Canned",9/15/2021,$73.86,Male,6/22/2022,1.4230773614,6/20/2022,$40.56
232,Wine - Two Oceans Cabernet,4/19/2022,$35.31,Agender,4/17/2022,0.1019373948,4/6/2022,$96.98
233,"Nut - Almond, Blanched, Ground",6/30/2022,$93.26,Female,12/20/2021,1.4610668846,2/24/2022,$6.62
234,Island Oasis - Peach Daiquiri,5/14/2022,$56.22,Female,11/16/2021,1.4200006755,2/1/2022,$56.68
235,Seabream Whole Farmed,10/7/2021,$51.48,Female,5/10/2022,1.0041720074,6/8/2022,$37.51
236,Tamarillo,11/9/2021,$74.42,Female,4/3/2022,0.0269151471,5/31/2022,$24.52
237,Bacardi Limon,1/14/2022,$41.56,Male,10/27/2021,0.8679149733,7/16/2022,$36.47
238,Beef Dry Aged Tenderloin Aaa,9/7/2021,$92.94,Male,2/2/2022,2.2946965975,2/12/2022,$54.34
239,"Pork - Chop, Frenched",11/24/2021,$23.22,Male,6/10/2022,0.471178225,10/25/2021,$81.92
240,Pastry - French Mini Assorted,3/26/2022,$75.08,Female,5/20/2022,0.2370531603,9/18/2021,$9.49
241,Kahlua,1/30/2022,$76.31,Genderfluid,9/28/2021,0.6548156662,10/26/2021,$18.24
242,"Syrup - Golden, Lyles",11/2/2021,$96.12,Female,3/12/2022,0.4151886093,5/16/2022,$1.90
243,Soup Campbells Split Pea And Ham,2/28/2022,$4.40,Female,10/12/2021,1.828580097,6/15/2022,$53.99
244,Squid Ink,7/25/2021,$89.79,Female,3/9/2022,0.7137955425,11/5/2021,$5.53
245,Bread - Focaccia Quarter,4/20/2022,$70.77,Female,7/8/2022,1.199196042,2/9/2022,$83.65
246,French Pastries,6/7/2022,$48.45,Female,3/19/2022,0.2874118233,7/29/2021,$80.84
247,Crackers - Soda / Saltins,9/25/2021,$5.97,Non-binary,5/4/2022,0.0318351469,11/25/2021,$97.57
248,Lobak,3/22/2022,$68.87,Female,4/29/2022,2.3303288922,10/21/2021,$1.49
